eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.38011695906432746
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3793969849246231,0.38596491228070173
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.3768844221105528,0.38596491228070173
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.4120603015075377,0.4269005847953216
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.38596491228070173
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.38596491228070173
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.9271356783919598,0.9064327485380117
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.36683417085427134,0.36257309941520466
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9447236180904522,0.8830409356725146
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.8994974874371859,0.8596491228070176
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
