eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
0.1,0.1,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,32,[10],"['relu', 'linear']",SGD,0.08344997799232315,0.07540496052605054
0.1,0.1,300,32,[10],"['relu', 'linear']",adam,0.015958555316488605,0.012714338613399467
0.1,0.1,300,32,[10],"['relu', 'linear']",adagrad,0.009986394836774434,0.006746636081361454
0.1,0.1,300,32,[10],"['relu', 'linear']",RMSprop,0.024556576455616156,0.020758798784689114
0.1,0.1,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,32,[30],"['relu', 'linear']",SGD,0.08718157304797469,0.07741593898868548
0.1,0.1,300,32,[30],"['relu', 'linear']",adam,0.013827604337205063,0.012560152411635822
0.1,0.1,300,32,[30],"['relu', 'linear']",adagrad,0.008543570172933123,0.00741563818548284
0.1,0.1,300,32,[30],"['relu', 'linear']",RMSprop,0.023905804207836796,0.020666603816521845
0.1,0.1,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,32,[50],"['relu', 'linear']",SGD,0.08385353685225021,0.07541510321883707
0.1,0.1,300,32,[50],"['relu', 'linear']",adam,0.013565243988194423,0.009875154595360328
0.1,0.1,300,32,[50],"['relu', 'linear']",adagrad,0.008658851734923855,0.007588367393933706
0.1,0.1,300,32,[50],"['relu', 'linear']",RMSprop,0.026633307431476783,0.021334188615916294
0.1,0.001,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,32,[10],"['relu', 'linear']",SGD,0.01271478076199017,0.015413538707593507
0.1,0.001,300,32,[10],"['relu', 'linear']",adam,0.0018392639771875525,0.0017758759763018244
0.1,0.001,300,32,[10],"['relu', 'linear']",adagrad,0.006862104457086566,0.007575473341256955
0.1,0.001,300,32,[10],"['relu', 'linear']",RMSprop,0.018518782254570636,0.016738350355710852
0.1,0.001,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,32,[30],"['relu', 'linear']",SGD,0.09215227994733913,0.08130235965498762
0.1,0.001,300,32,[30],"['relu', 'linear']",adam,0.0017927369827394368,0.002680619732703094
0.1,0.001,300,32,[30],"['relu', 'linear']",adagrad,0.004910239842913324,0.008126085479787219
0.1,0.001,300,32,[30],"['relu', 'linear']",RMSprop,0.0174909989141409,0.017177332231964826
0.1,0.001,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,32,[50],"['relu', 'linear']",SGD,0.083451132311207,0.07620549415844005
0.1,0.001,300,32,[50],"['relu', 'linear']",adam,0.002296463565208862,0.003044391751245896
0.1,0.001,300,32,[50],"['relu', 'linear']",adagrad,0.004779187692556175,0.01162194190491427
0.1,0.001,300,32,[50],"['relu', 'linear']",RMSprop,0.015609950684493551,0.01769936640895329
0.1,1e-05,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,32,[10],"['relu', 'linear']",SGD,0.008816010610034042,0.0068770446434578015
0.1,1e-05,300,32,[10],"['relu', 'linear']",adam,0.002344836495182139,0.001846956067487414
0.1,1e-05,300,32,[10],"['relu', 'linear']",adagrad,0.005914382789376899,0.006306989192027307
0.1,1e-05,300,32,[10],"['relu', 'linear']",RMSprop,0.010416611263353524,0.010167527654853072
0.1,1e-05,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,32,[30],"['relu', 'linear']",SGD,0.08417364490357405,0.07752717439391768
0.1,1e-05,300,32,[30],"['relu', 'linear']",adam,0.0017814824266968795,0.003215818255132316
0.1,1e-05,300,32,[30],"['relu', 'linear']",adagrad,0.0023708109512360063,0.003200916058923213
0.1,1e-05,300,32,[30],"['relu', 'linear']",RMSprop,0.041672347444608945,0.0462707619855635
0.1,1e-05,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,32,[50],"['relu', 'linear']",SGD,0.09325575665149584,0.08900743945510575
0.1,1e-05,300,32,[50],"['relu', 'linear']",adam,0.005921748634380332,0.006648037414138467
0.1,1e-05,300,32,[50],"['relu', 'linear']",adagrad,0.004479136351112001,0.011348674162058026
0.1,1e-05,300,32,[50],"['relu', 'linear']",RMSprop,0.01866501440127161,0.018952143863928888
0.001,0.1,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.021025634501351875,0.014347302741325646
0.001,0.1,300,32,[10],"['relu', 'linear']",SGD,0.015391991003537626,0.013242700643516963
0.001,0.1,300,32,[10],"['relu', 'linear']",adam,0.100881048493596,0.10334872014072713
0.001,0.1,300,32,[10],"['relu', 'linear']",adagrad,0.3766867834348817,0.48663442878009244
0.001,0.1,300,32,[10],"['relu', 'linear']",RMSprop,0.011763140526921685,0.008687231326139019
0.001,0.1,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.006613445364245549,0.005882783065421926
0.001,0.1,300,32,[30],"['relu', 'linear']",SGD,0.0078200468426201,0.010668558033160792
0.001,0.1,300,32,[30],"['relu', 'linear']",adam,0.0051370845335103705,0.005254863299000869
0.001,0.1,300,32,[30],"['relu', 'linear']",adagrad,0.6326140225289327,0.981524278262482
0.001,0.1,300,32,[30],"['relu', 'linear']",RMSprop,0.011887116957813082,0.009051944932810013
0.001,0.1,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.0028555506886645916,0.003862893471390855
0.001,0.1,300,32,[50],"['relu', 'linear']",SGD,0.005156950082904274,0.009288421272243549
0.001,0.1,300,32,[50],"['relu', 'linear']",adam,0.009940306000484903,0.011522215931738208
0.001,0.1,300,32,[50],"['relu', 'linear']",adagrad,0.6796225258594399,0.5888043077668998
0.001,0.1,300,32,[50],"['relu', 'linear']",RMSprop,0.010351503041085664,0.00810378575561461
0.001,0.001,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.009793347107616496,0.008884865930397936
0.001,0.001,300,32,[10],"['relu', 'linear']",SGD,0.015512814359945176,0.01638052851785901
0.001,0.001,300,32,[10],"['relu', 'linear']",adam,0.032620476647833116,0.04116745012474375
0.001,0.001,300,32,[10],"['relu', 'linear']",adagrad,15.375304703729876,18.865804302634434
0.001,0.001,300,32,[10],"['relu', 'linear']",RMSprop,0.008312023182454123,0.009822361356994814
0.001,0.001,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.006911464958161767,0.008294548875078817
0.001,0.001,300,32,[30],"['relu', 'linear']",SGD,0.008691226067478432,0.009747951522593359
0.001,0.001,300,32,[30],"['relu', 'linear']",adam,0.008047188524260191,0.02850455673735136
0.001,0.001,300,32,[30],"['relu', 'linear']",adagrad,0.9104405181374482,1.0574389769646324
0.001,0.001,300,32,[30],"['relu', 'linear']",RMSprop,0.0017652787584300077,0.0026396167066514023
0.001,0.001,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.002767251245407051,0.005184964610680329
0.001,0.001,300,32,[50],"['relu', 'linear']",SGD,0.006458542465359501,0.0097073687922501
