eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.9523809523809523,0.9333333333333333
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.9809523809523809,0.9555555555555556
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.9904761904761905,0.9777777777777777
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9809523809523809,0.9555555555555556
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,1.0,0.9777777777777777
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",adam,1.0,0.9777777777777777
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.9809523809523809,0.9777777777777777
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.49523809523809526,0.5555555555555556
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.9619047619047619,0.9555555555555556
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.9428571428571428,0.9555555555555556
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.9809523809523809,0.9777777777777777
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.9809523809523809,0.9555555555555556
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.6666666666666666,0.6666666666666666
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9714285714285714,0.9777777777777777
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.0,0.022222222222222223
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.3142857142857143,0.28888888888888886
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
