eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss,training_accuracy,validation_accuracy
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.23431544438216179,0.23506373086129292,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.23388767781269726,0.23458978320602633,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3718592965632821,0.37426900584864475,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.23785400032399143,0.23878666300378057,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.3718656573094983,0.37427131689996357,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3718586967779574,0.37426890615368896,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.49999999999994194,0.5,0.3844221105527638,0.38596491228070173
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.2352175756293963,0.23603016186448242,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.23514903779555663,0.2355757050115835,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3718617918682502,0.374290683111013,0.628140703517588,0.6257309941520468
0.1,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.628139232919375,0.6257309457854602,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.49999999999138106,0.49999999999650097,0.6758793969849246,0.6608187134502924
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3718592969478209,0.3742690058546339,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.2358155590906276,0.23666099513801991,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.05565321154859805,0.08720588900439552,0.9271356783919598,0.8596491228070176
0.1,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3718592964826856,0.37426900584795386,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3718592976796371,0.374269005872075,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.2365488086370821,0.2369037552643735,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.5,0.5,0.38190954773869346,0.3742690058479532
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.5,0.5,0.7060301507537688,0.6608187134502924
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.1,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.5,0.5,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.23367828565708182,0.23433604269090846,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.37186804713990773,0.3742706896537433,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.2336687876362017,0.2342409291116608,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.22063918566072943,0.2278082016176181,0.6306532663316583,0.631578947368421
0.01,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.2980359042667539,0.31461644966180735,0.6834170854271356,0.6783625730994152
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.500000008007194,0.5000000005022853,0.37185929648241206,0.3742690058479532
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.5000000022152109,0.5000000001392748,0.37185929648241206,0.3742690058479532
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.23357363799328495,0.23419174950347707,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.05498046266970534,0.08045986375570785,0.9296482412060302,0.8947368421052632
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.4999999999988127,0.4999999999999985,0.4120603015075377,0.39766081871345027
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.37186097226698145,0.374269439639809,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3718592860516913,0.3742690062198141,0.628140703517588,0.6257309941520468
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.6407035175879398,0.6461988304093568,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.03606573904784432,0.05717253100105617,0.9522613065326633,0.9298245614035088
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.6256281409106357,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.5,0.5,0.6306532663316583,0.6257309941520468
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.0433877473022286,0.06978356412678155,0.9447236180904522,0.9122807017543859
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.40703517587939697,0.40350877192982454
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.04070172873595408,0.05934691814474231,0.9547738693467337,0.9122807017543859
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.36317889355934063,0.36774218908046474,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.054655338880211964,0.061046891645622,0.9246231155778895,0.9064327485380117
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.3718592969501614,0.3742690058559885,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929739581947,0.3742690058632622,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648207144,0.3713450292397661,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.21070804786059227,0.218714585464016,0.6306532663316583,0.631578947368421
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.04940464760287009,0.06615925148977013,0.9371859296482412,0.9064327485380117
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5025125628140703,0.5058479532163743,0.36683417085427134,0.36257309941520466
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.5,0.5,0.41959798994974873,0.4093567251461988
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.3718598925064754,0.37426919371023376,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3693467336683417,0.3684210526315789,0.628140703517588,0.631578947368421
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.05531491494013975,0.07818794593490035,0.9371859296482412,0.9005847953216374
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.5,0.5,0.35678391959798994,0.3508771929824561
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.055349920729597296,0.08409073903535282,0.9346733668341709,0.9005847953216374
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.21922490923324606,0.23109665996245438,0.9045226130653267,0.8830409356725146
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.4723618090452261,0.4502923976608187
0.001,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.07767386108880978,0.11279973033250656,0.914572864321608,0.8771929824561403
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.4108039431688348,0.41520272431087424,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.38008817027462766,0.41520421068510244,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.042274781950255816,0.07208460273595364,0.949748743718593,0.9064327485380117
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.5,0.5,0.42462311557788945,0.4093567251461988
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.2272136228472767,0.24001209850047936,0.628140703517588,0.6257309941520468
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.10648936867033022,0.11792246795352238,0.8618090452261307,0.847953216374269
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.6331658291455163,0.6315789473716855,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.0461276806050308,0.05584251805805134,0.9447236180904522,0.9122807017543859
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.7035175879396985,0.7192982456140351
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.4999999942748044,0.4999999999610194,0.6256281407035176,0.6198830409356725
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.23327035045008165,0.28058401311059855,0.8944723618090452,0.8187134502923976
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.5,0.5,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.35175784415798866,0.3708367419522958,0.37185929648241206,0.3742690058479532
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.5012562814070352,0.5058479532163743,0.6959798994974874,0.6900584795321637
0.001,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.5,0.5,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.5,0.5,0.9020100502512562,0.9122807017543859
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.6281406925257438,0.6286365099175556,0.37185929648241206,0.3742690058479532
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532,0.628140703517588,0.6257309941520468
0.0001,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.5,0.5,0.37185929648241206,0.3742690058479532
