eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
0.1,0.1,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,32,[10],"['relu', 'linear']",SGD,0.3902787526417122,0.36394587336601036
0.1,0.1,300,32,[10],"['relu', 'linear']",adam,0.005277645862506057,0.004843128235840289
0.1,0.1,300,32,[10],"['relu', 'linear']",adagrad,0.002338202944262973,0.0020407138809976242
0.1,0.1,300,32,[10],"['relu', 'linear']",RMSprop,0.02375685409853947,0.026572833124369925
0.1,0.1,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,32,[30],"['relu', 'linear']",SGD,0.39162154198468696,0.36452998806510223
0.1,0.1,300,32,[30],"['relu', 'linear']",adam,0.0035285992233870665,0.003076959557074295
0.1,0.1,300,32,[30],"['relu', 'linear']",adagrad,0.0013587474169194143,0.0011816898691381084
0.1,0.1,300,32,[30],"['relu', 'linear']",RMSprop,0.08393297659769519,0.08038307023369377
0.1,0.1,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,32,[50],"['relu', 'linear']",SGD,0.39100548067819274,0.36420297709904126
0.1,0.1,300,32,[50],"['relu', 'linear']",adam,0.0036764332699180287,0.003029876763602394
0.1,0.1,300,32,[50],"['relu', 'linear']",adagrad,0.0020642736388915,0.0017695858848458573
0.1,0.1,300,32,[50],"['relu', 'linear']",RMSprop,0.009968784354754276,0.008888988728185585
0.1,0.001,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,32,[10],"['relu', 'linear']",SGD,1.8495453366286192e-05,1.4727088853307316e-05
0.1,0.001,300,32,[10],"['relu', 'linear']",adam,0.0016283415259463457,0.0015752719352164451
0.1,0.001,300,32,[10],"['relu', 'linear']",adagrad,0.0001916151485721557,0.00017118034481953544
0.1,0.001,300,32,[10],"['relu', 'linear']",RMSprop,0.003925521155463761,0.004223543044623763
0.1,0.001,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,32,[30],"['relu', 'linear']",SGD,0.397876235505253,0.3755490628645998
0.1,0.001,300,32,[30],"['relu', 'linear']",adam,0.0013300880154684639,0.0014424279986498829
0.1,0.001,300,32,[30],"['relu', 'linear']",adagrad,0.00011671772245084345,0.00011590606484057955
0.1,0.001,300,32,[30],"['relu', 'linear']",RMSprop,0.003840315280464747,0.004148746592821209
0.1,0.001,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,32,[50],"['relu', 'linear']",SGD,0.4760625050199819,0.4610861361443838
0.1,0.001,300,32,[50],"['relu', 'linear']",adam,0.0004162963294238615,0.0004099439795849998
0.1,0.001,300,32,[50],"['relu', 'linear']",adagrad,2.6633594740930353e-05,2.7280398869099096e-05
0.1,0.001,300,32,[50],"['relu', 'linear']",RMSprop,0.015066089218828517,0.015850343468157353
0.1,1e-05,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,32,[10],"['relu', 'linear']",SGD,0.39367332572723174,0.37034815529088505
0.1,1e-05,300,32,[10],"['relu', 'linear']",adam,0.0002551323973293812,0.000251580734002157
0.1,1e-05,300,32,[10],"['relu', 'linear']",adagrad,0.000885056705144766,0.0009630412964830343
0.1,1e-05,300,32,[10],"['relu', 'linear']",RMSprop,0.01877196850403239,0.01926733725312381
0.1,1e-05,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,32,[30],"['relu', 'linear']",SGD,0.3971212406656015,0.37463871368291973
0.1,1e-05,300,32,[30],"['relu', 'linear']",adam,0.0001544025137158624,0.0001528237374766053
0.1,1e-05,300,32,[30],"['relu', 'linear']",adagrad,0.0008974681261725639,0.0007762207578679945
0.1,1e-05,300,32,[30],"['relu', 'linear']",RMSprop,0.014389559031913364,0.014764325046979719
0.1,1e-05,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,1e-05,300,32,[50],"['relu', 'linear']",SGD,0.4474377248167063,0.4132228796031703
0.1,1e-05,300,32,[50],"['relu', 'linear']",adam,1.0508534245553909e-05,1.2832079524966407e-05
0.1,1e-05,300,32,[50],"['relu', 'linear']",adagrad,0.000688303620534059,0.000587325212109335
0.1,1e-05,300,32,[50],"['relu', 'linear']",RMSprop,0.015777649667056602,0.01640384399512378
0.001,0.1,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.0023476400990328906,0.002004091057584242
0.001,0.1,300,32,[10],"['relu', 'linear']",SGD,0.0028090714696864445,0.002334280025134169
0.001,0.1,300,32,[10],"['relu', 'linear']",adam,0.005789161423733016,0.005093975590568068
0.001,0.1,300,32,[10],"['relu', 'linear']",adagrad,0.41844052749214017,0.37751824093050507
0.001,0.1,300,32,[10],"['relu', 'linear']",RMSprop,0.0028766103348395306,0.0024418777250307996
0.001,0.1,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.0015379864537611201,0.0012695635851665754
0.001,0.1,300,32,[30],"['relu', 'linear']",SGD,0.0026871272305056186,0.0022089464293943237
0.001,0.1,300,32,[30],"['relu', 'linear']",adam,0.002658686387424166,0.0022566699571947117
0.001,0.1,300,32,[30],"['relu', 'linear']",adagrad,0.20972709061581113,0.17852434889957988
0.001,0.1,300,32,[30],"['relu', 'linear']",RMSprop,0.0042268427498506215,0.0037032735292743006
0.001,0.1,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.0015351918816378946,0.0013032632427660742
0.001,0.1,300,32,[50],"['relu', 'linear']",SGD,0.0014190506103137666,0.0012064849433938
0.001,0.1,300,32,[50],"['relu', 'linear']",adam,0.0032568021806777614,0.002863632501468526
0.001,0.1,300,32,[50],"['relu', 'linear']",adagrad,0.36817869611730886,0.3402901394013
0.001,0.1,300,32,[50],"['relu', 'linear']",RMSprop,0.0033637882793354336,0.003123387105420125
0.001,0.001,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.00044665417105711834,0.0004204773874909118
0.001,0.001,300,32,[10],"['relu', 'linear']",SGD,0.0011125006774056556,0.001025629363610647
0.001,0.001,300,32,[10],"['relu', 'linear']",adam,0.001748860940023298,0.0016143625397166898
0.001,0.001,300,32,[10],"['relu', 'linear']",adagrad,0.11572939102501408,0.10118620016437077
0.001,0.001,300,32,[10],"['relu', 'linear']",RMSprop,7.251621272551984e-05,6.89473184843969e-05
0.001,0.001,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.00023784929652350447,0.00021884602939782505
0.001,0.001,300,32,[30],"['relu', 'linear']",SGD,0.00014975905007163598,0.00013561228085175005
0.001,0.001,300,32,[30],"['relu', 'linear']",adam,0.00032329578464376384,0.0003311222568044779
0.001,0.001,300,32,[30],"['relu', 'linear']",adagrad,1.2669848125434806,1.1632064488813907
0.001,0.001,300,32,[30],"['relu', 'linear']",RMSprop,0.0003220631687839621,0.0003330226793420402
0.001,0.001,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,7.500751836831909e-05,6.467006153485724e-05
0.001,0.001,300,32,[50],"['relu', 'linear']",SGD,0.00014245098153233048,0.00012918730075186954
0.001,0.001,300,32,[50],"['relu', 'linear']",adam,0.0002812608038166696,0.0002967737072332536
0.001,0.001,300,32,[50],"['relu', 'linear']",adagrad,0.7822753856696524,0.7824810209740829
0.001,0.001,300,32,[50],"['relu', 'linear']",RMSprop,0.0003825033393532764,0.00036188494665484504
0.001,1e-05,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,2.8677028155626468e-05,2.69975519021065e-05
0.001,1e-05,300,32,[10],"['relu', 'linear']",SGD,0.0010399352967295002,0.0010453760329042809
0.001,1e-05,300,32,[10],"['relu', 'linear']",adam,0.0008475964019697221,0.0007179546651226147
0.001,1e-05,300,32,[10],"['relu', 'linear']",adagrad,0.36049467287050435,0.3568024554246973
0.001,1e-05,300,32,[10],"['relu', 'linear']",RMSprop,0.00010613384465496386,0.0001100131487591993
0.001,1e-05,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.00026284348486085314,0.0002768387445487006
0.001,1e-05,300,32,[30],"['relu', 'linear']",SGD,0.0005221841451361465,0.0004546372236865389
0.001,1e-05,300,32,[30],"['relu', 'linear']",adam,0.00029335346152743627,0.0002771482572691904
0.001,1e-05,300,32,[30],"['relu', 'linear']",adagrad,15.986150975789517,16.172541406440104
0.001,1e-05,300,32,[30],"['relu', 'linear']",RMSprop,0.0004899179156966891,0.0004464447621786931
0.001,1e-05,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,3.8106847156240514e-05,4.301767935100499e-05
0.001,1e-05,300,32,[50],"['relu', 'linear']",SGD,0.00013944839072524152,0.0001378373951166613
0.001,1e-05,300,32,[50],"['relu', 'linear']",adam,2.9789247607086827e-05,2.6401635239647705e-05
0.001,1e-05,300,32,[50],"['relu', 'linear']",adagrad,0.5403932035274879,0.5015000806026123
0.001,1e-05,300,32,[50],"['relu', 'linear']",RMSprop,0.00019697776910208002,0.00019229198230684682
1e-05,0.1,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.09475058904506278,0.08542713443442096
1e-05,0.1,300,32,[10],"['relu', 'linear']",SGD,0.019934984346333163,0.017790681705040712
1e-05,0.1,300,32,[10],"['relu', 'linear']",adam,11.98282378205447,11.02709376781273
1e-05,0.1,300,32,[10],"['relu', 'linear']",adagrad,14.997751709055306,14.807243714432447
1e-05,0.1,300,32,[10],"['relu', 'linear']",RMSprop,1.2078680055247966,1.1948368702267986
1e-05,0.1,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.043393978704561284,0.039997564659383235
1e-05,0.1,300,32,[30],"['relu', 'linear']",SGD,0.017805780152826564,0.01545486202852536
1e-05,0.1,300,32,[30],"['relu', 'linear']",adam,3.5210251947340048,2.9169839691529016
1e-05,0.1,300,32,[30],"['relu', 'linear']",adagrad,3.3164438886343817,2.7531851962394467
1e-05,0.1,300,32,[30],"['relu', 'linear']",RMSprop,11.569973868502313,11.487847676939905
1e-05,0.1,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.03428526810923112,0.03193653620018586
1e-05,0.1,300,32,[50],"['relu', 'linear']",SGD,0.027784684394808867,0.021169462828427528
1e-05,0.1,300,32,[50],"['relu', 'linear']",adam,10.57865493388038,10.259295813844982
1e-05,0.1,300,32,[50],"['relu', 'linear']",adagrad,10.510603522503525,10.696926817626066
1e-05,0.1,300,32,[50],"['relu', 'linear']",RMSprop,1.6406029398571655,1.6983799044431294
1e-05,0.001,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.12460973875346686,0.10940573379992558
1e-05,0.001,300,32,[10],"['relu', 'linear']",SGD,0.18440661344402098,0.16612664906924643
1e-05,0.001,300,32,[10],"['relu', 'linear']",adam,1.4950548264959742,1.5320257414760443
1e-05,0.001,300,32,[10],"['relu', 'linear']",adagrad,17.53022115139599,16.729724153396624
1e-05,0.001,300,32,[10],"['relu', 'linear']",RMSprop,26.56239234437945,26.516577094909675
1e-05,0.001,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.11053808644202164,0.09219640518859258
1e-05,0.001,300,32,[30],"['relu', 'linear']",SGD,0.07925321733051437,0.0745692348088877
1e-05,0.001,300,32,[30],"['relu', 'linear']",adam,34.33805130364604,32.6151927831723
1e-05,0.001,300,32,[30],"['relu', 'linear']",adagrad,4.388974614265985,3.8030786694776295
1e-05,0.001,300,32,[30],"['relu', 'linear']",RMSprop,0.3798485846121894,0.3314279904469123
1e-05,0.001,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.017758596016353528,0.015526333649399125
1e-05,0.001,300,32,[50],"['relu', 'linear']",SGD,0.015139405432289296,0.012463296988381086
1e-05,0.001,300,32,[50],"['relu', 'linear']",adam,0.039689840433015156,0.027747710931211377
1e-05,0.001,300,32,[50],"['relu', 'linear']",adagrad,91.17256549891688,90.7995011506313
1e-05,0.001,300,32,[50],"['relu', 'linear']",RMSprop,0.011825052415331588,0.010433956227800807
1e-05,1e-05,300,32,[10],"['relu', 'linear']",SGDwithoutMomentum,0.2467793521345984,0.22523894984810489
1e-05,1e-05,300,32,[10],"['relu', 'linear']",SGD,0.05179079242727604,0.04355502383063957
1e-05,1e-05,300,32,[10],"['relu', 'linear']",adam,0.19671929895329018,0.17053483524101512
1e-05,1e-05,300,32,[10],"['relu', 'linear']",adagrad,1.4659478804357575,1.4098405492088386
1e-05,1e-05,300,32,[10],"['relu', 'linear']",RMSprop,1.3984233685321965,1.338916031663552
1e-05,1e-05,300,32,[30],"['relu', 'linear']",SGDwithoutMomentum,0.022393799947988242,0.016883213862755587
1e-05,1e-05,300,32,[30],"['relu', 'linear']",SGD,0.025699343933589535,0.020667355380837592
1e-05,1e-05,300,32,[30],"['relu', 'linear']",adam,0.5709193883410592,0.5811553381692672
1e-05,1e-05,300,32,[30],"['relu', 'linear']",adagrad,355.8170485313364,335.17069791792454
1e-05,1e-05,300,32,[30],"['relu', 'linear']",RMSprop,1.786668877554347,1.612494263384497
1e-05,1e-05,300,32,[50],"['relu', 'linear']",SGDwithoutMomentum,0.003980084337489877,0.0034587643404959756
1e-05,1e-05,300,32,[50],"['relu', 'linear']",SGD,0.020747770923955855,0.018410548368346297
1e-05,1e-05,300,32,[50],"['relu', 'linear']",adam,1.1213589135071507,1.0377585778282723
1e-05,1e-05,300,32,[50],"['relu', 'linear']",adagrad,13.706158026233988,12.948149135339328
1e-05,1e-05,300,32,[50],"['relu', 'linear']",RMSprop,9.865907360599746,9.760847375708074
0.1,0.1,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,64,[10],"['relu', 'linear']",SGD,0.39568034168388977,0.3728771510253607
0.1,0.1,300,64,[10],"['relu', 'linear']",adam,0.001336337970273324,0.001000001745452945
0.1,0.1,300,64,[10],"['relu', 'linear']",adagrad,0.0014193326515087171,0.0012080725471816827
0.1,0.1,300,64,[10],"['relu', 'linear']",RMSprop,0.008810376810871828,0.009574698050943829
0.1,0.1,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,64,[30],"['relu', 'linear']",SGD,0.46910855531067297,0.43339609422734726
0.1,0.1,300,64,[30],"['relu', 'linear']",adam,0.0018351563812813076,0.0014910451746810787
0.1,0.1,300,64,[30],"['relu', 'linear']",adagrad,0.0012600114950372804,0.0011126471793958656
0.1,0.1,300,64,[30],"['relu', 'linear']",RMSprop,0.006496386780867147,0.006967134188302051
0.1,0.1,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.1,300,64,[50],"['relu', 'linear']",SGD,0.39399815014903966,0.3661063020312564
0.1,0.1,300,64,[50],"['relu', 'linear']",adam,0.0019161909587767961,0.0019061391894475187
0.1,0.1,300,64,[50],"['relu', 'linear']",adagrad,0.0002887048691916122,0.0003002459257389456
0.1,0.1,300,64,[50],"['relu', 'linear']",RMSprop,0.04201486047603068,0.03943615242215723
0.1,0.001,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,64,[10],"['relu', 'linear']",SGD,0.4157358307880403,0.3843706972700049
0.1,0.001,300,64,[10],"['relu', 'linear']",adam,0.002087570618509936,0.0019247574728855827
0.1,0.001,300,64,[10],"['relu', 'linear']",adagrad,9.06263233642568e-05,7.402838921138323e-05
0.1,0.001,300,64,[10],"['relu', 'linear']",RMSprop,0.007449714346616558,0.00810190332120454
0.1,0.001,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,64,[30],"['relu', 'linear']",SGD,0.4087749662011757,0.3782500174624498
0.1,0.001,300,64,[30],"['relu', 'linear']",adam,0.0001021000491692118,0.00011381849271316397
0.1,0.001,300,64,[30],"['relu', 'linear']",adagrad,0.00029629248221858963,0.00028321892559954223
0.1,0.001,300,64,[30],"['relu', 'linear']",RMSprop,0.006768882166431262,0.006762833038739686
0.1,0.001,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,,
0.1,0.001,300,64,[50],"['relu', 'linear']",SGD,0.47971413111298117,0.46495955474870093
0.1,0.001,300,64,[50],"['relu', 'linear']",adam,0.003501156027959567,0.0035794220439954545
0.1,0.001,300,64,[50],"['relu', 'linear']",adagrad,0.0001447113413503216,0.00012372109861566075
0.1,0.001,300,64,[50],"['relu', 'linear']",RMSprop,0.009344014066203605,0.010116319148547874
0.1,1e-05,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,,
